public_date,FFI48_desc,NFIRM,indret_ew,indret_vw,dpr_Median,bm_Median,pe_exi_Median,gpm_Median,roe_Median,totdebt_invcap_Median,rd_sale_Median,adv_sale_Median
20100331,UTIL,101,0.045318,0.031333,0.620,0.920,14.639,0.251,0.073,0.577,0.000,0.000
20100331,WHLSL,107,0.061737,0.061969,0.000,0.709,15.146,0.195,0.079,0.306,0.000,0.000
20100430,AERO,19,0.040571,0.021789,0.067,0.568,18.192,0.294,0.106,0.329,0.029,0.000
20100430,AGRIC,11,-0.035967,-0.102750,0.000,0.639,8.203,0.231,0.095,0.352,0.000,0.000
20100430,AUTOS,50,0.112859,0.050626,0.000,0.649,4.169,0.202,0.012,0.382,0.021,0.000
20100430,BANKS,557,0.125964,0.035831,0.473,1.321,8.205,0.488,0.016,0.696,0.000,0.009
20100430,BEER,9,0.040453,-0.019214,0.117,0.723,21.221,0.506,0.105,0.248,0.000,0.071
20100430,BLDMT,53,0.145371,0.108256,0.310,0.765,14.600,0.291,0.016,0.272,0.005,0.000
20100430,BOOKS,24,0.088706,0.001292,0.115,0.847,6.269,0.541,0.084,0.559,0.000,0.009
20100430,BOXES,10,0.037835,0.016246,0.098,0.471,13.807,0.233,0.175,0.669,0.003,0.000
20100430,BUSSV,404,0.052635,0.006702,0.000,0.477,13.481,0.534,0.041,0.062,0.008,0.000
20100430,CHEMS,77,0.056166,0.029282,0.201,0.496,13.526,0.330,0.073,0.400,0.013,0.000
20100430,CHIPS,237,0.053697,0.015608,0.000,0.614,-1.126,0.397,-0.016,0.062,0.105,0.000
20100430,CLTHS,47,0.062822,0.043551,0.000,0.609,16.316,0.447,0.112,0.040,0.000,0.022
20100430,CNSTR,44,0.144224,0.096387,0.000,0.749,4.077,0.149,0.011,0.266,0.000,0.000
20100430,COAL,15,0.022254,-0.019358,0.000,0.455,15.146,0.257,0.173,0.421,0.000,0.000
20100430,COMPS,136,0.035218,0.050951,0.000,0.469,12.140,0.535,0.021,0.044,0.120,0.000
20100430,DRUGS,286,0.063624,-0.030937,0.000,0.266,-3.444,0.351,-0.255,0.042,0.370,0.000
20100430,ELCEQ,67,0.065372,0.043629,0.000,0.653,9.568,0.317,0.024,0.184,0.031,0.000
20100430,FABPR,9,0.114864,0.070444,0.000,0.744,12.931,0.360,0.127,0.069,0.006,0.000
20100430,FIN,113,0.064218,-0.009142,0.076,0.535,15.756,0.306,0.057,0.306,0.000,0.000
20100430,FOOD,63,0.014570,-0.000359,0.128,0.512,15.500,0.311,0.137,0.370,0.000,0.005
20100430,FUN,46,0.127929,0.155717,0.000,0.858,13.780,0.365,0.012,0.442,0.000,0.012
20100430,GOLD,7,0.130450,0.107196,0.000,0.352,20.925,0.537,0.128,0.026,0.000,0.000
20100430,GUNS,8,0.004961,0.017162,0.000,0.516,12.009,0.232,0.208,0.278,0.015,0.000
20100430,HLTH,75,0.063663,0.026833,0.000,0.582,14.732,0.302,0.090,0.296,0.000,0.000
20100430,HSHLD,46,0.097821,0.012255,0.188,0.628,17.071,0.447,0.076,0.280,0.009,0.021
20100430,INSUR,125,0.035748,-0.013991,0.113,1.096,9.229,0.148,0.110,0.207,0.000,0.000
20100430,LABEQ,80,0.075153,0.064653,0.000,0.542,-2.364,0.471,-0.010,0.089,0.111,0.000
20100430,MACH,107,0.088524,0.060547,0.140,0.564,9.021,0.328,0.011,0.215,0.019,0.000
20100430,MEALS,64,0.075082,0.074039,0.000,0.577,13.404,0.208,0.063,0.416,0.000,0.022
20100430,MEDEQ,125,0.042369,0.007656,0.000,0.429,-0.755,0.602,0.013,0.118,0.090,0.000
20100430,MINES,18,0.049338,-0.030786,0.160,0.342,12.889,0.339,0.034,0.284,0.000,0.000
20100430,OIL,150,0.089223,0.042892,0.000,0.713,-3.506,0.337,-0.057,0.338,0.000,0.000
20100430,OTHER,21,0.065666,0.056263,0.000,0.593,11.889,0.332,0.037,0.392,0.000,0.000
20100430,PAPER,40,0.095185,0.052303,0.068,0.687,12.433,0.258,0.097,0.384,0.002,0.000
20100430,PERSV,51,0.040974,0.014898,0.000,0.640,18.767,0.483,0.067,0.324,0.000,0.006
20100430,RLEST,22,0.112170,0.065230,0.000,0.762,4.754,0.360,0.007,0.387,0.000,0.000
20100430,RTAIL,176,0.074454,0.020311,0.000,0.623,16.878,0.341,0.080,0.194,0.000,0.015
20100430,RUBBR,18,0.132293,0.058108,0.000,0.625,17.133,0.300,0.070,0.374,0.012,0.000
20100430,SHIPS,8,0.194442,0.195504,0.170,0.804,15.110,0.167,0.036,0.251,0.003,0.000
20100430,SMOKE,6,-0.035231,-0.024144,0.857,0.081,14.454,0.541,0.546,0.837,0.009,0.012
20100430,SODA,9,0.119142,-0.035294,0.068,0.564,4.480,0.472,0.149,0.482,0.000,0.019
20100430,STEEL,44,0.066923,-0.026515,0.184,0.684,-5.731,0.162,-0.018,0.256,0.000,0.000
20100430,TELCM,102,0.100355,0.028742,0.000,0.540,1.596,0.560,0.033,0.559,0.000,0.004
20100430,TOYS,21,0.059638,-0.009201,0.000,0.810,-1.091,0.416,-0.020,0.228,0.034,0.021
20100430,TRANS,88,0.062757,0.035157,0.000,0.759,12.331,0.209,0.048,0.387,0.000,0.000
20100430,TXTLS,9,0.115385,0.114027,0.000,0.940,-1.445,0.296,-0.002,0.528,0.000,0.000
20100430,UTIL,101,0.036882,0.029025,0.620,0.920,15.176,0.251,0.073,0.577,0.000,0.000
20100430,WHLSL,108,0.064057,0.033015,0.000,0.663,16.407,0.195,0.078,0.308,0.000,0.000
20100531,AERO,19,-0.084556,-0.095675,0.071,0.493,16.959,0.298,0.117,0.357,0.029,0.000
20100531,AGRIC,11,-0.095964,-0.171890,0.000,0.573,9.148,0.231,0.077,0.352,0.000,0.000
20100531,AUTOS,50,-0.101046,-0.101622,0.066,0.512,6.596,0.205,0.049,0.424,0.022,0.000
20100531,BANKS,552,-0.081797,-0.106561,0.538,1.138,5.483,0.513,0.019,0.681,0.000,0.009
20100531,BEER,9,0.027797,-0.037973,0.125,0.892,21.138,0.493,0.099,0.263,0.000,0.069
20100531,BLDMT,54,-0.095081,-0.110497,0.298,0.741,12.704,0.304,0.033,0.267,0.006,0.000
20100531,BOOKS,23,-0.099028,-0.113351,0.300,0.750,11.481,0.541,0.110,0.614,0.000,0.010
20100531,BOXES,10,-0.076170,-0.094178,0.086,0.438,10.037,0.233,0.251,0.650,0.003,0.000
20100531,BUSSV,406,-0.066297,-0.084156,0.000,0.461,13.106,0.542,0.046,0.065,0.006,0.000
20100531,CHEMS,76,-0.083113,-0.097832,0.148,0.454,12.572,0.330,0.093,0.407,0.015,0.000
20100531,CHIPS,238,-0.086266,-0.074569,0.000,0.574,7.828,0.404,0.025,0.075,0.108,0.000
20100531,CLTHS,48,-0.053149,-0.059265,0.000,0.523,11.216,0.453,0.121,0.036,0.000,0.022
20100531,CNSTR,44,-0.126406,-0.108110,0.000,0.729,3.859,0.151,0.019,0.272,0.000,0.000
20100531,COAL,15,-0.145958,-0.152753,0.079,0.455,15.137,0.255,0.115,0.439,0.000,0.000
20100531,COMPS,135,-0.059807,-0.068198,0.000,0.444,9.982,0.530,0.038,0.038,0.119,0.000
20100531,DRUGS,287,-0.113554,-0.081869,0.000,0.269,-5.107,0.335,-0.291,0.049,0.361,0.000
20100531,ELCEQ,70,-0.104388,-0.103579,0.000,0.591,7.852,0.323,0.021,0.201,0.029,0.000
20100531,FABPR,9,-0.073394,-0.116040,0.124,0.730,15.936,0.355,0.093,0.076,0.006,0.000
20100531,FIN,113,-0.078605,-0.083134,0.234,0.564,14.750,0.310,0.081,0.305,0.000,0.000
20100531,FOOD,62,-0.062711,-0.041935,0.058,0.495,12.722,0.317,0.126,0.343,0.000,0.006
20100531,FUN,48,-0.095497,-0.080755,0.000,0.796,8.007,0.370,0.005,0.441,0.000,0.012
20100531,GOLD,8,-0.074497,-0.047624,0.000,0.436,16.812,0.544,0.116,0.034,0.000,0.000
20100531,GUNS,8,-0.176982,-0.064252,0.000,0.366,10.212,0.239,0.159,0.280,0.016,0.000
20100531,HLTH,76,-0.022750,-0.037118,0.000,0.611,13.733,0.304,0.103,0.314,0.000,0.000
20100531,HSHLD,46,-0.075576,-0.041926,0.216,0.531,14.117,0.454,0.105,0.286,0.009,0.021
20100531,INSUR,125,-0.053519,-0.059646,0.121,1.058,8.594,0.150,0.107,0.206,0.000,0.000
20100531,LABEQ,80,-0.063549,-0.068365,0.000,0.498,9.383,0.489,0.022,0.080,0.106,0.000
20100531,MACH,107,-0.100269,-0.104645,0.023,0.503,13.841,0.345,0.048,0.223,0.017,0.000
20100531,MEALS,64,-0.072669,-0.049042,0.000,0.475,11.273,0.212,0.066,0.440,0.000,0.022
20100531,MEDEQ,125,-0.068634,-0.083166,0.000,0.414,-0.983,0.604,0.015,0.124,0.088,0.000
20100531,MINES,18,-0.090456,-0.056903,0.251,0.305,15.674,0.307,0.045,0.316,0.000,0.000
20100531,OIL,150,-0.128936,-0.100407,0.000,0.700,-0.580,0.492,0.009,0.365,0.000,0.000
20100531,OTHER,21,-0.096127,-0.056919,0.000,0.608,15.705,0.317,0.046,0.326,0.000,0.000
20100531,PAPER,40,-0.088419,-0.082230,0.150,0.677,11.891,0.243,0.111,0.421,0.002,0.000
20100531,PERSV,51,-0.067338,-0.060055,0.000,0.645,17.826,0.489,0.070,0.321,0.000,0.006
20100531,RLEST,23,-0.124939,-0.105725,0.000,0.763,-1.260,0.346,-0.006,0.333,0.000,0.000
20100531,RTAIL,175,-0.065161,-0.056753,0.000,0.567,15.524,0.340,0.086,0.194,0.000,0.015
20100531,RUBBR,18,-0.072452,-0.064262,0.116,0.655,13.780,0.303,0.072,0.389,0.011,0.000
20100531,SHIPS,8,-0.077865,-0.096849,0.224,0.762,2.381,0.170,0.007,0.264,0.003,0.000
20100531,SMOKE,6,-0.075517,-0.075838,0.801,0.068,8.080,0.531,0.403,0.731,0.009,0.012
20100531,SODA,9,-0.054351,0.052166,0.267,0.469,3.070,0.452,0.128,0.491,0.000,0.019
20100531,STEEL,44,-0.091311,-0.076368,0.386,0.697,10.354,0.175,0.007,0.279,0.000,0.000
20100531,TELCM,102,-0.073497,-0.055476,0.134,0.491,9.765,0.561,0.025,0.559,0.000,0.004
20100531,TOYS,21,-0.095932,-0.054192,0.000,0.615,1.485,0.419,0.001,0.252,0.034,0.021
20100531,TRANS,88,-0.080757,-0.057785,0.000,0.697,12.500,0.210,0.049,0.403,0.000,0.000
20100531,TXTLS,9,-0.073542,-0.097533,0.000,0.932,7.396,0.324,0.074,0.426,0.000,0.000
20100531,UTIL,101,-0.061210,-0.063034,0.629,0.912,13.080,0.256,0.073,0.563,0.000,0.000
20100531,WHLSL,108,-0.078245,-0.043872,0.000,0.643,14.048,0.197,0.087,0.307,0.000,0.000
20100630,AERO,19,-0.068008,-0.056725,0.071,0.493,15.201,0.298,0.117,0.357,0.029,0.000
20100630,AGRIC,11,-0.036025,-0.074141,0.000,0.573,8.950,0.231,0.077,0.352,0.000,0.000
20100630,AUTOS,50,-0.090814,-0.102329,0.066,0.512,5.818,0.208,0.049,0.424,0.022,0.000
20100630,BANKS,550,-0.087190,-0.072795,0.537,1.131,5.921,0.514,0.020,0.681,0.000,0.009
20100630,BEER,9,0.063175,-0.017017,0.125,0.892,22.911,0.493,0.099,0.263,0.000,0.069
20100630,BLDMT,54,-0.090571,-0.125040,0.298,0.718,12.015,0.304,0.033,0.267,0.006,0.000
20100630,BOOKS,23,-0.135929,-0.075613,0.300,0.750,10.265,0.541,0.110,0.578,0.000,0.010
20100630,BOXES,9,-0.014752,-0.014743,0.092,0.369,8.669,0.240,0.253,0.628,0.003,0.000
